Age Group,AI Expertise,Question Number,Scenario,Options,Mapping,Weight,Ethical Score
0-12,Beginner,1,For homework help,A – Ask AI to explain what you don't understand.,Balanced AI use,3-4,1
0-12,Beginner,1,For homework help,"B – Try yourself, ask your teacher if stuck.",Low-impact conscious use,5-6,2
0-12,Beginner,1,For homework help,C – Ask AI to do all your homework.,High AI impact,1-2,0
0-12,Beginner,2,For learning to read,A – Read books yourself with a parent.,Low-impact conscious use,5-6,2
0-12,Beginner,2,For learning to read,B – Let AI read everything to you.,High AI impact,1-2,0
0-12,Beginner,2,For learning to read,"C – Read along, ask AI to explain hard words.",Balanced AI use,3-4,1
0-12,Beginner,3,For maths practice,A – Ask AI for every answer.,High AI impact,1-2,0
0-12,Beginner,3,For maths practice,B – Use AI to explain how to solve problems.,Balanced AI use,3-4,1
0-12,Beginner,3,For maths practice,"C – Work out sums yourself, check with a teacher.",Low-impact conscious use,5-6,2
0-12,Beginner,4,For drawing and art,A – Let AI make all your pictures.,High AI impact,1-2,0
0-12,Beginner,4,For drawing and art,"B – Use AI for ideas, draw everything yourself.",Balanced AI use,3-4,1
0-12,Beginner,4,For drawing and art,C – Draw and colour everything by hand.,Low-impact conscious use,5-6,2
0-12,Beginner,5,For bedtime stories,A – Co-create a story together with AI.,Balanced AI use,3-4,1
0-12,Beginner,5,For bedtime stories,B – Ask AI to tell you a new story every night.,High AI impact,1-2,0
0-12,Beginner,5,For bedtime stories,C – Ask a parent or read a book instead.,Low-impact conscious use,5-6,2
0-12,Beginner,6,For learning a new language,A – Learn words with flashcards and apps.,Low-impact conscious use,5-6,2
0-12,Beginner,6,For learning a new language,B – Let AI translate everything for you.,High AI impact,1-2,0
0-12,Beginner,6,For learning a new language,C – Practise conversations with AI.,Balanced AI use,3-4,1
0-12,Beginner,7,For spelling practice,A – Let AI correct all your spelling.,High AI impact,1-2,0
0-12,Beginner,7,For spelling practice,"B – Try the spelling first, then use AI to check.",Balanced AI use,3-4,1
0-12,Beginner,7,For spelling practice,C – Write it out and ask a teacher.,Low-impact conscious use,5-6,2
0-12,Beginner,8,For science projects,A – Research using books and ask your teacher.,Low-impact conscious use,5-6,2
0-12,Beginner,8,For science projects,B – Ask AI to design and explain your whole project.,High AI impact,1-2,0
0-12,Beginner,8,For science projects,"C – Use AI to research one part, do the rest yourself.",Balanced AI use,3-4,1
0-12,Beginner,9,For learning about animals,A – Use AI for facts about animals you're curious about.,Balanced AI use,3-4,1
0-12,Beginner,9,For learning about animals,B – Ask AI every animal question.,High AI impact,1-2,0
0-12,Beginner,9,For learning about animals,C – Visit the library or watch nature documentaries.,Low-impact conscious use,5-6,2
0-12,Beginner,10,For asking questions about the world,"A – Ask parents, teachers, or look in books.",Low-impact conscious use,5-6,2
0-12,Beginner,10,For asking questions about the world,B – Ask AI every question you have.,High AI impact,1-2,0
0-12,Beginner,10,For asking questions about the world,"C – Ask AI some things, explore others yourself.",Balanced AI use,3-4,1
0-12,Beginner,11,For creative storytelling,A – Make up the whole story in your head.,Low-impact conscious use,5-6,2
0-12,Beginner,11,For creative storytelling,"B – Ask AI for ideas, write the story yourself.",Balanced AI use,3-4,1
0-12,Beginner,11,For creative storytelling,C – Ask AI to write the whole story.,High AI impact,1-2,0
0-12,Beginner,12,For learning maths concepts,"A – Use AI to explain a concept, then practise.",Balanced AI use,3-4,1
0-12,Beginner,12,For learning maths concepts,B – Let AI solve all your maths problems.,High AI impact,1-2,0
0-12,Beginner,12,For learning maths concepts,C – Work through examples in your textbook.,Low-impact conscious use,5-6,2
0-12,Beginner,13,For learning about space,A – Use AI to answer specific space questions.,Balanced AI use,3-4,1
0-12,Beginner,13,For learning about space,B – Watch space documentaries and read books.,Low-impact conscious use,5-6,2
0-12,Beginner,13,For learning about space,C – Ask AI to tell you everything about space.,High AI impact,1-2,0
0-12,Beginner,14,For educational games,A – Use AI games for all your learning.,High AI impact,1-2,0
0-12,Beginner,14,For educational games,B – Play board games and read books to learn.,Low-impact conscious use,5-6,2
0-12,Beginner,14,For educational games,C – Mix AI games with board games and books.,Balanced AI use,3-4,1
0-12,Beginner,15,For exploring history,"A – Use AI to summarise events, read more yourself.",Balanced AI use,3-4,1
0-12,Beginner,15,For exploring history,B – Read history books and visit museums.,Low-impact conscious use,5-6,2
0-12,Beginner,15,For exploring history,C – Ask AI to write all your history notes.,High AI impact,1-2,0
0-12,Beginner,16,For making music,A – Let AI create all your music.,High AI impact,1-2,0
0-12,Beginner,16,For making music,B – Learn an instrument and practise yourself.,Low-impact conscious use,5-6,2
0-12,Beginner,16,For making music,"C – Use AI to learn notes and theory, play yourself.",Balanced AI use,3-4,1
0-12,Beginner,17,For drawing characters,"A – Use AI for inspiration, draw characters yourself.",Balanced AI use,3-4,1
0-12,Beginner,17,For drawing characters,B – Sketch all characters entirely by hand.,Low-impact conscious use,5-6,2
0-12,Beginner,17,For drawing characters,C – Generate all characters with AI.,High AI impact,1-2,0
0-12,Beginner,18,For playing memory games,A – Use AI as a hint only when really stuck.,Balanced AI use,3-4,1
0-12,Beginner,18,For playing memory games,B – Use AI to answer all memory games for you.,High AI impact,1-2,0
0-12,Beginner,18,For playing memory games,C – Train your memory yourself without any help.,Low-impact conscious use,5-6,2
0-12,Beginner,19,For learning numbers,A – Ask AI to do all counting for you.,High AI impact,1-2,0
0-12,Beginner,19,For learning numbers,B – Count with toys and practise yourself.,Low-impact conscious use,5-6,2
0-12,Beginner,19,For learning numbers,C – Use AI when confused about a number concept.,Balanced AI use,3-4,1
0-12,Beginner,20,For understanding safety online,A – Let AI manage all your online safety.,High AI impact,1-2,0
0-12,Beginner,20,For understanding safety online,B – Talk to parents and teachers about staying safe.,Low-impact conscious use,5-6,2
0-12,Beginner,20,For understanding safety online,C – Use AI to learn about staying safe online.,Balanced AI use,3-4,1
0-12,Intermediate,1,For research projects,"A – Use AI for research, write the report yourself.",Balanced AI use,3-4,2
0-12,Intermediate,1,For research projects,B – Use AI to research and write the whole project.,High AI impact,1-2,0
0-12,Intermediate,1,For research projects,"C – Research in books, AI only for structure check.",Low-impact conscious use,5-6,1
